,username,tweet
0,aoc,debate democrat much helping people year much le
1,aoc,yes retroactive back jan
2,aoc,mean test corporate tax break
3,aoc,nationwide
4,aoc,sorry previous typo cold finger
5,aoc,fema operating amp authorized billion program retroactive amp reimburse back january start collecting doc fema need expense documentation receipt invoice death certificate amp doc caller id includes undocumented
6,aoc,official lost loved one due covid soon able get reimbursed expense laying loved one rest proud thankful gotten done amp
7,aoc,folk said defunding huge pd budget amp shifting school hard explain saying well actually k recall diff president carry yes know ad showed k check threshold help people
8,aoc,use west virginia cost living bring relief everyone million left cold k cutting check account queen higher col overall win win lower col get bang buck higher col get need met
9,aoc,borough queen higher population entire state west virginia help instead one cut relief check account higher cost living queen amp west virginia get help wv actually come ahead due lower col
10,aoc,discount proposal saying rep urban amp suburban area get place seem apply consideration k threshold totally disconnected reality ten million people let talk queen amp west virginia
11,aoc,contact member congress help track also applies thing like social security etc staff able track lot money people community find member congress
12,aoc,pandemic hit use income determine relief eligibility
13,aoc,conclusion k wack wack thing
14,aoc,would outrageous ran giving relief ended opposite sad even argument dem party covid relief disaster relief amp urgent first act gate big bold strong weaker amp smaller
15,aoc,source
16,aoc,joe cunningham pledged never take corporate pac money never mace said cash every check get yet another way downgrade
17,aoc,even gross mace take corporate pac money already funded corporation choosing swindle working people top peak scam artistry cap cash
18,aoc,joe cunningham already proving league decent honest mace seems capable house far better w cunningham sad see mace diminish representation community launching reputation craven dishonesty right bat
19,aoc,pretty horrible well good know kind person early also good know mace cut trump cloth dishonesty opportunism sad see colleague intentionally hurt woman survivor make buck thought better
20,aoc,amazon worker right form union anti union tactic like especially trillion dollar company trying disrupt essential worker organizing better wage dignified working condition pandemic wrong
21,aoc,preserve peg outdated income people need help
22,aoc,conservative senate dems institute lower income threshold next round check could potentially mean first round check trump help people first round biden want let stop playing amp help people
23,aoc,call member congress help track
24,aoc,dems need slam dunk people elected u help many people possible hard let screw austerity nonsense squeeze working class yet never make peep tax cut yacht private jet proposed
25,aoc,begin w anyway brutally mean testing round going hurt many people risk afford income threshold already work reverse amp lag behind reality conservative dems ask tax back later concerned
26,aoc,cannot cut relief k shockingly touch assert k wealthy receive relief million brink eviction give little devastated give much single mom might save rainy day hard
27,aoc,imagine policymaker washington witnessed massive economic social health destruction last year think greatest policy risk face providing much relief sound silly right floor ceiling
28,aoc,thanks happy chat plan detail community effort gone legislation
29,aoc,wrote original green new deal public housing written carefully w nycha resident advocate amp building trade create k job city revamp public housing plan original work
30,aoc,powerful account barricading staff collective decision made white supremacist breached office already come far movement black life go without fight
31,aoc,story threat looked like escalated moment got washington feel responsible safety staff
32,aoc,want hear story like yesterday spoke gut instinct blend floor w gop lawmaker bc knew mob coming dems amp affirmed stark reality colleague color luxury
33,aoc,reason gop trying sow false doubt account capitol attack bc know powerful testimony really story reveals detail need accountability see mine amp others cspan
34,aoc,thank everyone puppy content today deco first time camping turning dinosaur
35,aoc,incredibly powerful moving thank
36,aoc,never make claim would never ever greene pumping lie insurrectionist base making feel justified violence prospect stripping committee clearly quelling must expelled
37,aoc,discounting experience fact checking statement never made insinuating said great job mace hope proud quickly throw survivor bus moment personal gain enjoy fox news hit
